Anho,Mes,DC,DSB,Lon,Lat,SST,SSS,SSO,Depth,Anch,Sard,Jur,Cab,Sam,Mun,Fvol,Bagr,Pota,Vinc,Camo,Micto,Euph,Pcin,water.type,watermass,num.card.ANC,prof.card.ANC
2008,11,72.64936421,-2.417570421,-80.26467497,-7.4960083,17.891,35.068,NA,NA,890.765467,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,74.55882251,1.079233919,-80.27964986,-7.50466667,17.942,35.068,NA,NA,1256.57534,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,76.47320282,1.916814456,-80.29460963,-7.51344297,17.992,35.068,NA,NA,10756.69582,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,78.36350974,3.657166911,-80.3094427,-7.522,18.039,35.069,NA,NA,1627.278594,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,80.26617491,5.505094625,-80.32424851,-7.53083333,18.086,35.069,NA,NA,5204.982613,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,82.17144366,7.338243727,-80.33899168,-7.53982501,18.132,35.069,NA,NA,1695.275786,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,84.06608403,8.937802804,-80.35363326,-7.54879992,18.177,35.069,NA,NA,55.056962,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,85.94140549,10.63214828,-80.3682989,-7.55737741,18.22,35.07,NA,NA,4181.889226,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,87.83524207,12.39449898,-80.38308414,-7.56608414,18.262,35.07,NA,NA,681.468286,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,88.53333384,12.65961668,-80.3815,-7.58141303,18.284,35.069,NA,NA,13.260308,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,88.72688599,12.38048846,-80.3765,-7.59782345,18.3,35.068,NA,NA,90.113981,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,88.57758984,12.33628463,-80.37133333,-7.61404464,18.315,35.067,NA,NA,119.382972,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
